dataset,cities,pop_size,crossover_rate,mutation_rate,avg_length,std_length,avg_time
pr1002.tsp,1002,50,0.6,0.1,3787045.8680291856,40341.49761660931,37.78007848262787
pr1002.tsp,1002,50,0.6,0.2,3628811.80204326,35810.635947206094,38.52681524753571
pr1002.tsp,1002,50,0.6,0.3,3567423.4516770467,40512.09767751542,38.87441787719727
pr1002.tsp,1002,50,0.8,0.1,3508914.130168931,50107.328920328226,137.79781579971313
pr1002.tsp,1002,50,0.8,0.2,3511837.507292337,41950.461667140065,53.72626519203186
pr1002.tsp,1002,50,0.8,0.3,3496618.2556171445,36850.364465318235,56.10423481464386
pr1002.tsp,1002,50,1.0,0.1,3447130.005843355,26471.010461902857,70.28639395236969
pr1002.tsp,1002,50,1.0,0.2,3423676.103523472,38696.41171974546,71.90149340629577
pr1002.tsp,1002,50,1.0,0.3,3496665.9235261986,50959.223597564094,68.98032689094543
pr1002.tsp,1002,100,0.6,0.1,3346452.667356598,28609.070936879743,81.55220155715942
pr1002.tsp,1002,100,0.6,0.2,3332911.7115208018,27238.39665379207,87.26834156513215
pr1002.tsp,1002,100,0.6,0.3,3315097.3225619937,42384.38874469459,85.58423480987548
pr1002.tsp,1002,100,0.8,0.1,3231072.0153518626,35489.28582033728,115.7729718208313
pr1002.tsp,1002,100,0.8,0.2,3294774.4579292596,49208.530143085416,120.99665837287903
pr1002.tsp,1002,100,0.8,0.3,3302846.6200524787,62724.688600127694,119.79310956001282
pr1002.tsp,1002,100,1.0,0.1,3329505.46387358,65134.776373714965,142.99362161159516
pr1002.tsp,1002,100,1.0,0.2,3443568.63116675,66609.44528764366,143.4312106370926
pr1002.tsp,1002,100,1.0,0.3,3638516.4803723805,81005.59306951577,144.2205396413803
pr1002.tsp,1002,200,0.6,0.1,3111916.2297613444,43466.80128751847,184.34603543281554
pr1002.tsp,1002,200,0.6,0.2,3128136.0484168404,32541.427926582302,275.4218926906586
pr1002.tsp,1002,200,0.6,0.3,3155168.1428454174,49701.06455890708,266.4252515554428
pr1002.tsp,1002,200,0.8,0.1,3067080.6518410305,40852.68502718088,353.2192778110504
pr1002.tsp,1002,200,0.8,0.2,3115313.5125751356,38930.28969431644,443.3669497728348
pr1002.tsp,1002,200,0.8,0.3,3224523.963264272,43280.26931570723,233.7293550491333
pr1002.tsp,1002,200,1.0,0.1,3600147.43654342,65075.25767535244,353.45749082565305
pr1002.tsp,1002,200,1.0,0.2,3738515.506773319,67954.66266847312,461.08368344306945
pr1002.tsp,1002,200,1.0,0.3,3843634.7176415897,52821.1904806506,348.41177291870116
